id,modelo,ano,cor,cliente_id,created_at,updated_at,tipo,marca,voltagem,observacoes
162,1620,1996,,201,2025-11-27 18:56:48.643608+00,2025-11-27 18:56:48.643608+00,Toco,Mercedes-Benz,24V,
163,912,1991,,204,2025-12-01 12:57:22.7784+00,2025-12-01 12:57:22.7784+00,3/4,Mercedes-Benz,12V,
164,912,1991,,205,2025-12-01 13:06:24.67608+00,2025-12-01 13:06:24.67608+00,3/4,Mercedes-Benz,12V,
168,agrale,1989,,218,2025-12-02 17:20:21.464533+00,2025-12-02 17:20:21.464533+00,3/4,Outra,12V,
185,1620,2008,,248,2025-12-05 20:42:02.604236+00,2025-12-05 20:42:02.604236+00,Truck,Mercedes-Benz,24V,
186,1620,2008,,249,2025-12-05 20:44:00.619194+00,2025-12-05 20:44:00.619194+00,Truck,Mercedes-Benz,24V,
187,1113,1986,,250,2025-12-05 21:29:30.008054+00,2025-12-05 21:29:30.008054+00,Truck,Mercedes-Benz,12V,
188,1620,2008,,251,2025-12-05 21:32:23.362868+00,2025-12-05 21:32:23.362868+00,Truck,Mercedes-Benz,24V,
214,CARGO 816,2005,,290,2025-12-19 12:44:20.960859+00,2025-12-19 12:44:20.960859+00,Toco,Outra,24V,CAMINHÃO COM CARROCERIA
215,CARGO 816,2005,,291,2025-12-19 12:47:55.601362+00,2025-12-19 12:47:55.601362+00,Toco,Outra,24V,CAMINHÃO COM CARROCERIA
216,CARGO 816,2005,,292,2025-12-19 12:52:30.777348+00,2025-12-19 12:52:30.777348+00,Toco,Outra,24V,CAMINHÃO COM CARROCERIA
218,Cargo,2018,,294,2025-12-19 23:13:29.71363+00,2025-12-19 23:13:29.71363+00,3/4,Ford,24V,
219,Cargo 1119,2018,,295,2025-12-19 23:45:26.047997+00,2025-12-19 23:45:26.047997+00,3/4,Ford,24V,
220,Cargo 1119,2015,,296,2025-12-19 23:59:47.209152+00,2025-12-19 23:59:47.209152+00,3/4,Ford,12V,⚠️ PROPOSTA PRELIMINAR - Dados do veículo a confirmar com o cliente
221,Cargo 1119,2015,,297,2025-12-20 00:04:03.796611+00,2025-12-20 00:04:03.796611+00,3/4,Ford,12V,
222,Cargo,2015,,298,2025-12-20 00:08:09.487174+00,2025-12-20 00:08:09.487174+00,3/4,Ford,12V,
223,Cargo 1119,2015,,299,2025-12-20 00:15:37.730459+00,2025-12-20 00:15:37.730459+00,3/4,Ford,12V,"Acrescentar lança manual com 3 metros: R$3.000,00"
224,Cargo 1119,2015,,300,2025-12-20 01:03:47.880127+00,2025-12-20 01:03:47.880127+00,3/4,Ford,12V,"Acrescentar lança manual com 3 metros: R$3.000,00"
225,Cargo 1119,2015,,301,2025-12-20 01:12:06.68179+00,2025-12-20 01:12:06.68179+00,3/4,Ford,12V,
229,daily 7070,2017,,305,2025-12-20 14:13:22.547939+00,2025-12-20 14:13:22.547939+00,Truck,Iveco,12V,
232,teste,1995,,342,2026-01-13 21:33:15.968037+00,2026-01-13 21:33:15.968037+00,Toco,Scania,12V,
233,8-140,1996,,345,2026-01-15 19:31:51.224055+00,2026-01-15 19:31:51.224055+00,3/4,Volkswagen,12V,
234,Vertis 130V19,2013,,346,2026-01-15 20:10:42.523702+00,2026-01-15 20:10:42.523702+00,Toco,Iveco,12V,
236,1313,1975,,357,2026-01-20 13:13:29.152667+00,2026-01-20 13:13:29.152667+00,Tractor CAVALINHO,Mercedes-Benz,12V,
237,1313,1975,,358,2026-01-21 18:34:18.445042+00,2026-01-21 18:34:18.445042+00,Truck,Mercedes-Benz,12V,
238,1313,1975,,359,2026-01-21 18:37:09.179735+00,2026-01-21 18:37:09.179735+00,Truck,Mercedes-Benz,12V,
239,L-608 D,1980,,361,2026-01-22 17:40:55.711575+00,2026-01-22 17:40:55.711575+00,3/4,Mercedes-Benz,12V,Instalação dentro da Carroceria
240,L-608 D,1980,,362,2026-01-22 17:55:28.536482+00,2026-01-22 17:55:28.536482+00,3/4,Mercedes-Benz,12V,Instalação na carroceria
241,cargo 1722,2002,,363,2026-01-22 19:05:00.784967+00,2026-01-22 19:05:00.784967+00,Truck,Outra,24V,
242,608 D,1980,,370,2026-01-28 18:41:09.559804+00,2026-01-28 18:41:09.559804+00,3/4,Mercedes-Benz,12V,
243,608 D,1980,,371,2026-01-28 18:48:02.286973+00,2026-01-28 18:48:02.286973+00,3/4,Mercedes-Benz,12V,
