id,cidade,oficina,uf,regiao_grupo,valor_prioridade,valor_reaproveitamento,observacoes,created_at,updated_at,valor_instalacao
1,Santa Rosa,Agiltec,RS,rs-com-ie,500.00,500.00,,2025-10-12 14:47:08.866282,2025-10-12 14:47:08.866282,0.00
2,Pelotas,Rodokurtz,RS,rs-com-ie,5824.00,3000.00,,2025-10-12 14:47:08.866282,2025-10-12 14:47:08.866282,0.00
3,São José do Inhacorá,Hidroen Guindastes,RS,rs-com-ie,360.00,250.00,,2025-10-12 14:47:08.866282,2025-10-12 14:47:08.866282,0.00
4,Santa Maria,Trevisan,RS,rs-com-ie,2160.00,1500.00,,2025-10-12 14:47:08.866282,2025-10-12 14:47:08.866282,0.00
5,Canoas,Bertoto,RS,rs-com-ie,3840.00,2000.00,,2025-10-12 14:47:08.866282,2025-10-12 14:47:08.866282,0.00
6,Alvorada,Guindas Move,RS,rs-com-ie,4000.00,2000.00,,2025-10-12 14:47:08.866282,2025-10-12 14:47:08.866282,0.00
7,Nova Prata,Salex,RS,rs-com-ie,3080.00,1800.00,,2025-10-12 14:47:08.866282,2025-10-12 14:47:08.866282,0.00
8,Santo Antônio da Patrulha,Guindasmap,RS,rs-com-ie,4464.00,2200.00,,2025-10-12 14:47:08.866282,2025-10-12 14:47:08.866282,0.00
9,Caxias do Sul,VRC Manutenções,RS,rs-com-ie,3824.00,2000.00,,2025-10-12 14:47:08.866282,2025-10-12 14:47:08.866282,0.00
10,Erechim,BGS Implementos,RS,rs-com-ie,2784.00,1800.00,,2025-10-12 14:47:08.866282,2025-10-12 14:47:08.866282,0.00
11,Não-Me-Toque,R.D.P. Soluções Hidráulicas,RS,rs-com-ie,1952.00,1500.00,,2025-10-12 14:47:08.866282,2025-10-12 14:47:08.866282,0.00
12,Carazinho,KM Prestação de Serviço Mecânico,RS,rs-com-ie,1800.00,1500.00,,2025-10-12 14:47:08.866282,2025-10-12 14:47:08.866282,0.00
13,Alegrete,Mecânica Acosta,RS,rs-com-ie,2744.00,1800.00,,2025-10-12 14:47:08.866282,2025-10-12 14:47:08.866282,0.00
14,Santo Ângelo,KIST Oficina de Furgões,RS,rs-com-ie,500.00,500.00,,2025-10-12 14:47:08.866282,2025-10-12 14:47:08.866282,0.00
15,Cândido Godói,Henz & Cassola Comércio,RS,rs-com-ie,500.00,500.00,,2025-10-12 14:47:08.866282,2025-10-12 14:47:08.866282,0.00
16,Sarandi,Hidraumap,PR,sul-sudeste,6568.00,3000.00,,2025-10-12 14:47:08.866282,2025-10-12 14:47:08.866282,0.00
17,Cascavel,Mecânica R.E.I,PR,sul-sudeste,4096.00,2500.00,,2025-10-12 14:47:08.866282,2025-10-12 14:47:08.866282,0.00
