guindaste_id,regiao,preco,created_at,updated_at
1,centro-oeste,49000,2026-05-11 22:53:11.835338+00,2026-05-11 22:53:11.835338+00
1,rs-com-ie,49000,2026-05-11 22:53:11.835338+00,2026-05-11 22:53:11.835338+00
1,rs-sem-ie,49000,2026-05-11 22:53:11.835338+00,2026-05-11 22:53:11.835338+00
1,sul-sudeste,55308,2026-05-11 22:53:11.835338+00,2026-05-11 22:53:11.835338+00
3,rs-com-ie,57228.21,2026-05-11 14:12:13.226674+00,2026-05-11 14:12:13.226674+00
3,sul-sudeste,57228.21,2026-05-11 14:12:13.226674+00,2026-05-11 14:12:13.226674+00
5,rs-com-ie,62751,2026-05-07 18:42:36.739719+00,2026-05-07 18:42:36.739719+00
5,sul-sudeste,71880,2026-05-07 18:42:36.739719+00,2026-05-07 18:42:36.739719+00
6,rs-com-ie,56938,2026-05-07 18:49:15.580917+00,2026-05-07 18:49:15.580917+00
6,sul-sudeste,65220,2026-05-07 18:49:15.580917+00,2026-05-07 18:49:15.580917+00
7,centro-oeste,56608,2026-05-11 22:56:16.916333+00,2026-05-11 22:56:16.916333+00
7,rs-com-ie,56608,2026-05-11 22:56:16.916333+00,2026-05-11 22:56:16.916333+00
7,sul-sudeste,64842,2026-05-11 22:56:16.916333+00,2026-05-11 22:56:16.916333+00
8,rs-com-ie,62045,2026-05-07 18:53:22.629539+00,2026-05-07 18:53:22.629539+00
8,sul-sudeste,71070,2026-05-07 18:53:22.629539+00,2026-05-07 18:53:22.629539+00
10,rs-com-ie,69536,2026-05-07 18:55:03.412158+00,2026-05-07 18:55:03.412158+00
10,sul-sudeste,79652,2026-05-07 18:55:03.412158+00,2026-05-07 18:55:03.412158+00
11,rs-com-ie,75300,2026-05-07 18:56:53.523157+00,2026-05-07 18:56:53.523157+00
11,sul-sudeste,86252,2026-05-07 18:56:53.523157+00,2026-05-07 18:56:53.523157+00
13,rs-com-ie,60600,2026-05-07 19:08:34.556578+00,2026-05-07 19:08:34.556578+00
13,sul-sudeste,69488,2026-05-07 19:08:34.556578+00,2026-05-07 19:08:34.556578+00
14,rs-com-ie,66500,2026-05-07 19:10:14.514519+00,2026-05-07 19:10:14.514519+00
14,sul-sudeste,76185,2026-05-07 19:10:14.514519+00,2026-05-07 19:10:14.514519+00
16,rs-com-ie,73818,2026-05-07 19:13:09.07875+00,2026-05-07 19:13:09.07875+00
16,sul-sudeste,84557,2026-05-07 19:13:09.07875+00,2026-05-07 19:13:09.07875+00
17,rs-com-ie,79700,2026-05-07 19:14:58.871404+00,2026-05-07 19:14:58.871404+00
17,sul-sudeste,91304,2026-05-07 19:14:58.871404+00,2026-05-07 19:14:58.871404+00
19,rs-com-ie,60328,2026-05-07 19:17:10.918757+00,2026-05-07 19:17:10.918757+00
19,sul-sudeste,69100,2026-05-07 19:17:10.918757+00,2026-05-07 19:17:10.918757+00
20,rs-com-ie,75328,2026-05-07 19:21:12.978293+00,2026-05-07 19:21:12.978293+00
20,sul-sudeste,86287,2026-05-07 19:21:12.978293+00,2026-05-07 19:21:12.978293+00
23,rs-com-ie,67872,2026-05-07 19:19:12.459194+00,2026-05-07 19:19:12.459194+00
23,sul-sudeste,77764,2026-05-07 19:19:12.459194+00,2026-05-07 19:19:12.459194+00
25,rs-com-ie,66117,2026-05-07 19:25:07.203775+00,2026-05-07 19:25:07.203775+00
25,sul-sudeste,75736,2026-05-07 19:25:07.203775+00,2026-05-07 19:25:07.203775+00
26,rs-com-ie,81070,2026-05-07 19:50:13.676151+00,2026-05-07 19:50:13.676151+00
26,sul-sudeste,92863,2026-05-07 19:50:13.676151+00,2026-05-07 19:50:13.676151+00
29,rs-com-ie,71330,2026-05-07 19:26:57.043684+00,2026-05-07 19:26:57.043684+00
29,sul-sudeste,81707,2026-05-07 19:26:57.043684+00,2026-05-07 19:26:57.043684+00
31,rs-com-ie,74560,2026-05-09 01:09:22.494134+00,2026-05-09 01:09:22.494134+00
31,sul-sudeste,74560,2026-05-09 01:09:22.494134+00,2026-05-09 01:09:22.494134+00
32,rs-com-ie,98125,2026-05-09 01:13:28.507042+00,2026-05-09 01:13:28.507042+00
32,sul-sudeste,98125,2026-05-09 01:13:28.507042+00,2026-05-09 01:13:28.507042+00
33,rs-com-ie,84387,2026-05-09 01:11:31.564295+00,2026-05-09 01:11:31.564295+00
33,rs-sem-ie,84387,2026-05-09 01:11:31.564295+00,2026-05-09 01:11:31.564295+00
33,sul-sudeste,95149.44,2026-05-09 01:11:31.564295+00,2026-05-09 01:11:31.564295+00
34,rs-com-ie,72570,2026-05-09 00:40:43.478163+00,2026-05-09 00:40:43.478163+00
34,sul-sudeste,72570,2026-05-09 00:40:43.478163+00,2026-05-09 00:40:43.478163+00
35,rs-com-ie,80977.86,2026-05-09 00:42:24.781287+00,2026-05-09 00:42:24.781287+00
35,sul-sudeste,80977.86,2026-05-09 00:42:24.781287+00,2026-05-09 00:42:24.781287+00
36,rs-com-ie,77272,2026-05-09 01:20:47.491622+00,2026-05-09 01:20:47.491622+00
36,sul-sudeste,77272,2026-05-09 01:20:47.491622+00,2026-05-09 01:20:47.491622+00
37,rs-com-ie,98715,2026-05-09 01:26:14.342384+00,2026-05-09 01:26:14.342384+00
37,sul-sudeste,98715,2026-05-09 01:26:14.342384+00,2026-05-09 01:26:14.342384+00
39,rs-com-ie,101332,2026-05-09 01:28:19.904012+00,2026-05-09 01:28:19.904012+00
39,sul-sudeste,101332,2026-05-09 01:28:19.904012+00,2026-05-09 01:28:19.904012+00
40,rs-com-ie,85100,2026-05-09 01:23:19.329236+00,2026-05-09 01:23:19.329236+00
40,sul-sudeste,85100,2026-05-09 01:23:19.329236+00,2026-05-09 01:23:19.329236+00
41,comercio-exterior,103700,2026-05-09 01:31:44.1031+00,2026-05-09 01:31:44.1031+00
41,rs-com-ie,111793,2026-05-09 01:31:44.1031+00,2026-05-09 01:31:44.1031+00
41,sul-sudeste,111793,2026-05-09 01:31:44.1031+00,2026-05-09 01:31:44.1031+00
42,comercio-exterior,109950,2026-05-09 01:35:53.468211+00,2026-05-09 01:35:53.468211+00
42,rs-com-ie,123225,2026-05-09 01:35:53.468211+00,2026-05-09 01:35:53.468211+00
42,sul-sudeste,123225,2026-05-09 01:35:53.468211+00,2026-05-09 01:35:53.468211+00
43,rs-com-ie,119356,2026-05-09 01:40:21.580266+00,2026-05-09 01:40:21.580266+00
43,sul-sudeste,119356,2026-05-09 01:40:21.580266+00,2026-05-09 01:40:21.580266+00
44,comercio-exterior,126000,2026-05-09 01:42:46.697159+00,2026-05-09 01:42:46.697159+00
44,rs-com-ie,131755,2026-05-09 01:42:46.697159+00,2026-05-09 01:42:46.697159+00
44,sul-sudeste,131755,2026-05-09 01:42:46.697159+00,2026-05-09 01:42:46.697159+00
45,rs-com-ie,160150,2026-05-09 01:44:31.848564+00,2026-05-09 01:44:31.848564+00
45,sul-sudeste,160150,2026-05-09 01:44:31.848564+00,2026-05-09 01:44:31.848564+00
