id,guindaste_id,regiao,preco
29,27,norte,100000.00
30,27,nordeste,105000.00
31,27,sudeste,95000.00
32,27,sul,97000.00
33,27,centro-oeste,99000.00
49,27,norte-nordeste,100000.00
52,27,sul-sudeste,96000.00
53,27,rs-com-ie,97000.00
55,27,rs-sem-ie,97000.00
126,46,norte-nordeste,75347.58
127,46,centro-oeste,70332.52
128,46,sul-sudeste,75347.57
129,46,rs-com-ie,75347.57
130,46,rs-sem-ie,75347.57
141,47,norte-nordeste,92958.07
142,47,centro-oeste,86770.87
143,47,sul-sudeste,92958.07
144,47,rs-com-ie,92958.07
145,47,rs-sem-ie,92958.07
156,4,norte-nordeste,67037.81
157,4,centro-oeste,67037.81
158,4,sul-sudeste,71432.49
159,4,rs-com-ie,61673.49
160,4,rs-sem-ie,69241.19
166,2,norte-nordeste,88135.98
167,2,centro-oeste,88135.98
168,2,sul-sudeste,93913.74
169,2,rs-com-ie,81083.39
170,2,rs-sem-ie,91032.80
501,84,norte-nordeste,203576.00
502,84,centro-oeste,192030.00
503,84,sul-sudeste,203576.00
504,84,rs-com-ie,203576.00
505,84,rs-sem-ie,203576.00
1675,93,comercio-exterior,109950.00
1676,92,comercio-exterior,162500.00
1754,5,norte-nordeste,83978.00
1755,5,centro-oeste,83978.00
1756,5,sul-sudeste,88960.00
1757,5,rs-com-ie,77662.00
1758,5,rs-sem-ie,86450.00
1759,69,norte-nordeste,82885.00
1760,69,centro-oeste,82885.00
1761,69,sul-sudeste,87800.00
1762,69,rs-com-ie,75951.00
1763,69,rs-sem-ie,85343.00
1764,67,norte-nordeste,73632.00
1765,67,centro-oeste,73632.00
1766,67,sul-sudeste,78000.00
1767,67,rs-com-ie,68094.00
1768,67,rs-sem-ie,75816.00
1769,6,norte-nordeste,76200.00
1770,6,centro-oeste,76200.00
1771,6,sul-sudeste,80717.00
1772,6,rs-com-ie,70466.00
1773,6,rs-sem-ie,78456.00
1779,8,norte-nordeste,83034.00
1780,8,centro-oeste,83034.00
1781,8,sul-sudeste,87960.00
1782,8,rs-com-ie,76789.00
1783,8,rs-sem-ie,85400.00
1784,10,norte-nordeste,93060.00
1785,10,centro-oeste,93060.00
1786,10,sul-sudeste,98580.00
1787,10,rs-com-ie,86060.00
1788,10,rs-sem-ie,95819.00
1789,11,norte-nordeste,100770.00
1790,11,centro-oeste,100770.00
1791,11,sul-sudeste,106748.00
1792,11,rs-com-ie,93192.00
1793,11,rs-sem-ie,103761.00
1794,13,norte-nordeste,81200.00
1795,13,centro-oeste,81200.00
1796,13,sul-sudeste,86000.00
1797,13,rs-com-ie,75000.00
1798,13,rs-sem-ie,83592.00
1799,14,norte-nordeste,89000.00
1800,14,centro-oeste,89000.00
1801,14,sul-sudeste,94288.00
1802,14,rs-com-ie,82310.00
1803,14,rs-sem-ie,91650.00
1804,16,norte-nordeste,98790.00
1805,16,centro-oeste,98790.00
1806,16,sul-sudeste,104650.00
1807,16,rs-com-ie,91360.00
1808,16,rs-sem-ie,101720.00
1809,17,norte-nordeste,106672.00
1810,17,centro-oeste,106672.00
1811,17,sul-sudeste,113000.00
1812,17,rs-com-ie,98650.00
1813,17,rs-sem-ie,109836.00
1814,19,norte-nordeste,80730.00
1815,19,centro-oeste,80730.00
1816,19,sul-sudeste,85526.00
1817,19,rs-com-ie,74660.00
1818,19,rs-sem-ie,83130.00
1819,23,norte-nordeste,90853.00
1820,23,centro-oeste,90853.00
1821,23,sul-sudeste,96243.00
1822,23,rs-com-ie,84000.00
1823,23,rs-sem-ie,93548.00
1824,20,norte-nordeste,100810.00
1825,20,centro-oeste,100810.00
1826,20,sul-sudeste,106791.00
1827,20,rs-com-ie,93228.00
1828,20,rs-sem-ie,103800.00
1829,72,norte-nordeste,108318.00
1830,72,centro-oeste,108318.00
1831,72,sul-sudeste,114744.00
1832,72,rs-com-ie,100171.00
1833,72,rs-sem-ie,111531.00
1834,25,norte-nordeste,88483.00
1835,25,centro-oeste,88483.00
1836,25,sul-sudeste,93733.00
1837,25,rs-com-ie,81828.00
1838,25,rs-sem-ie,91108.00
1839,29,norte-nordeste,95460.00
1840,29,centro-oeste,95460.00
1841,29,sul-sudeste,101123.00
1842,29,rs-com-ie,88280.00
1843,29,rs-sem-ie,98290.00
1849,26,norte-nordeste,108493.00
1850,26,centro-oeste,108493.00
1851,26,sul-sudeste,114930.00
1852,26,rs-com-ie,100330.00
1853,26,rs-sem-ie,111712.00
1854,73,norte-nordeste,116000.00
1855,73,centro-oeste,116000.00
1856,73,sul-sudeste,122910.00
1857,73,rs-com-ie,107300.00
1858,73,rs-sem-ie,119468.00
1864,34,norte-nordeste,84775.00
1865,34,centro-oeste,79522.00
1866,34,sul-sudeste,84775.00
1867,34,rs-com-ie,84775.00
1868,34,rs-sem-ie,84775.00
1869,35,norte-nordeste,88735.00
1870,35,centro-oeste,83235.46
1871,35,sul-sudeste,88735.00
1872,35,rs-com-ie,88735.00
1873,35,rs-sem-ie,88735.00
1874,31,norte-nordeste,87100.00
1875,31,centro-oeste,81702.00
1876,31,sul-sudeste,87100.00
1877,31,rs-com-ie,87100.00
1878,31,rs-sem-ie,87100.00
1879,33,norte-nordeste,92470.00
1880,33,centro-oeste,86740.00
1881,33,sul-sudeste,92470.00
1882,33,rs-com-ie,92470.00
1883,33,rs-sem-ie,92470.00
1884,32,norte-nordeste,107525.00
1885,32,centro-oeste,100860.00
1886,32,sul-sudeste,107525.00
1887,32,rs-com-ie,107525.00
1888,32,rs-sem-ie,107525.00
1889,36,norte-nordeste,90270.00
1890,36,centro-oeste,84674.00
1891,36,sul-sudeste,90270.00
1892,36,rs-com-ie,90270.00
1893,36,rs-sem-ie,90270.00
1894,40,norte-nordeste,93250.00
1895,40,centro-oeste,87470.00
