id,set_id,audience,order,description,installments,active,nature,discount_percent,surcharge_percent,min_order_value,entry_percent_required,entry_percent,entry_min,juros_mensal,created_at,updated_at
01236bb1-8414-4785-a832-3ce878bfa65f,b23b52ff-509e-4c9f-9bdd-18c250996785,cliente,55,30/45 DD,2,true,Venda,0.01,0,,0.5,,,,2026-04-12 19:38:38.610294+00,2026-04-12 19:38:38.610294+00
01277360-a808-4174-b55f-9d51c5f15765,b23b52ff-509e-4c9f-9bdd-18c250996785,cliente,53,45 DD,1,true,Venda,0.01,0,,0.5,,,,2026-04-12 19:38:38.486623+00,2026-04-12 19:38:38.486623+00
045cfc44-d356-47ea-8440-f44b38579be3,a26b70e8-07b8-46b6-adc0-5a628f67ddb1,cliente,55,30/45 DD,2,true,Venda,0.01,0,,0.5,,,,2026-03-26 10:24:44.019908+00,2026-03-26 10:24:44.019908+00
07ed2ad0-2daf-4f13-aefa-399963a423c5,b23b52ff-509e-4c9f-9bdd-18c250996785,cliente,23,30/60 DD,2,true,Venda,0.01,0,,0.3,,,,2026-04-12 19:38:38.114397+00,2026-04-12 19:38:38.114397+00
08aa813f-3268-45f9-a57d-19f8e34d00dd,a26b70e8-07b8-46b6-adc0-5a628f67ddb1,cliente,56,30/60 DD,2,true,Venda,0.01,0,,0.5,,,,2026-03-26 10:24:44.099952+00,2026-03-26 10:24:44.099952+00
0bf5c390-cf91-48c4-9514-2c6de014cca3,a26b70e8-07b8-46b6-adc0-5a628f67ddb1,cliente,22,15/30/45/60/75/90/105/120/135/150 DD,10,true,Venda,0,0.04,,0.3,,,,2026-03-26 10:24:43.196156+00,2026-03-26 10:24:43.196156+00
0d52e4da-e621-41c5-b63f-8997c69f9d6d,a26b70e8-07b8-46b6-adc0-5a628f67ddb1,revenda,3,30/45 DD,2,true,Venda,0.01,,,,,,,2026-03-26 10:24:44.921406+00,2026-03-26 10:24:44.921406+00
0e28f3a2-46ea-4307-9a08-fcd2c41be367,a26b70e8-07b8-46b6-adc0-5a628f67ddb1,cliente,17,45/60/75/90 DD,4,true,Venda,0,0,,0.3,,,,2026-03-26 10:24:42.764678+00,2026-03-26 10:24:42.764678+00
0ecc7c40-9452-47d8-94c3-3ee5db7bd616,a26b70e8-07b8-46b6-adc0-5a628f67ddb1,cliente,20,30/60/90/120/150/180 DD,6,true,Venda,0,0.04,,0.3,,,,2026-03-26 10:24:43.009685+00,2026-03-26 10:24:43.009685+00
0f6f28d7-7ad2-4789-9296-cf6cd0800096,b23b52ff-509e-4c9f-9bdd-18c250996785,revenda,3,15/30 DD,2,true,Venda,0.03,,,,,,,2026-04-12 19:38:39.610948+00,2026-04-12 19:38:39.610948+00
109a8873-9b4b-4d51-9c37-65846484dd43,b23b52ff-509e-4c9f-9bdd-18c250996785,cliente,18,30/45/60/75/90 DD,5,true,Venda,0,0,,0.3,,,,2026-04-12 19:38:37.69753+00,2026-04-12 19:38:37.69753+00
13db0d09-c5db-48c8-82c6-ea2931474165,a26b70e8-07b8-46b6-adc0-5a628f67ddb1,revenda,0,À Vista,1,true,Venda,0.03,,,,,,,2026-03-26 10:24:44.549275+00,2026-03-26 10:24:44.549275+00
16b10feb-b1a3-4f45-afab-a53979d983b4,b23b52ff-509e-4c9f-9bdd-18c250996785,revenda,5,15/30/45/60 DD,4,true,Venda,0.01,,,,,,,2026-04-12 19:38:40.062254+00,2026-04-12 19:38:40.062254+00
1733fc2d-ed90-487e-b07d-d821a04f6278,a26b70e8-07b8-46b6-adc0-5a628f67ddb1,cliente,1,7 DD,1,true,Venda,0.03,,,,,,,2026-03-26 10:24:41.632725+00,2026-03-26 10:24:41.632725+00
